Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,CarInsurance
120,40,management,married,tertiary,Yes,0,No,No,cellular,28,jul,5,-1,0,No
121,37,technician,single,tertiary,No,6101,No,No,cellular,6,feb,1,-1,0,Yes
122,46,management,divorced,tertiary,No,461,No,No,cellular,30,dec,2,-1,0,Yes
123,64,entrepreneur,married,tertiary,No,2331,No,No,telephone,9,nov,1,-1,0,Yes
125,57,blue-collar,married,primary,No,3109,No,No,cellular,15,sep,2,105,2,Yes
126,58,retired,divorced,primary,No,11,No,Yes,cellular,10,jul,5,-1,0,No
127,32,technician,divorced,tertiary,No,53,No,No,cellular,22,aug,2,-1,0,Yes
128,43,blue-collar,married,secondary,No,699,Yes,Yes,cellular,20,nov,2,122,2,Yes
129,30,student,single,tertiary,No,3300,No,No,cellular,21,nov,1,-1,0,Yes
130,45,admin.,married,secondary,No,251,Yes,No,cellular,19,aug,2,-1,0,No
131,56,management,married,tertiary,No,318,No,Yes,telephone,9,jul,3,-1,0,No
133,61,management,married,tertiary,No,5157,No,No,cellular,13,mar,1,-1,0,No
134,37,technician,divorced,tertiary,No,1762,Yes,No,cellular,16,apr,1,317,1,No
135,56,retired,married,secondary,No,343,No,Yes,cellular,9,jul,1,-1,0,No
136,46,admin.,married,secondary,No,368,No,No,cellular,20,aug,1,90,4,Yes
137,39,management,divorced,tertiary,No,1968,No,No,cellular,21,nov,1,-1,0,Yes
138,27,services,single,secondary,No,302,No,No,cellular,3,jul,1,-1,0,Yes
139,33,blue-collar,single,primary,No,60,Yes,No,cellular,14,may,1,290,2,No
140,52,technician,married,tertiary,No,0,No,No,cellular,9,aug,3,94,4,No
141,45,blue-collar,married,secondary,No,3092,Yes,Yes,cellular,12,may,2,-1,0,No
142,30,unemployed,single,secondary,No,1058,No,No,cellular,4,feb,1,-1,0,No
143,46,services,married,secondary,No,53,No,Yes,cellular,28,jul,3,-1,0,No
144,32,services,single,secondary,No,-402,Yes,No,cellular,17,apr,1,-1,0,No
145,62,entrepreneur,married,secondary,No,3904,No,No,telephone,29,jan,2,-1,0,Yes
146,24,student,single,secondary,No,1123,No,No,cellular,13,jul,1,412,1,Yes
147,47,management,single,tertiary,No,159,No,No,telephone,29,oct,3,155,3,Yes
150,36,technician,single,tertiary,No,391,Yes,No,cellular,15,may,1,350,8,No
152,73,retired,divorced,secondary,No,7111,Yes,No,cellular,12,oct,1,-1,0,Yes
154,57,blue-collar,married,primary,No,3109,No,No,cellular,2,jun,2,-1,0,Yes
155,25,unemployed,single,primary,No,129,No,No,cellular,12,apr,3,-1,0,Yes
156,62,retired,married,secondary,No,569,No,No,cellular,4,aug,1,1,8,Yes
158,56,blue-collar,married,secondary,No,1521,Yes,Yes,cellular,21,nov,2,179,3,No
159,33,management,single,tertiary,No,8038,Yes,No,cellular,19,nov,1,-1,0,No
161,63,blue-collar,married,secondary,No,641,No,No,cellular,27,may,2,-1,0,Yes
163,60,retired,married,secondary,No,208,No,No,cellular,20,aug,4,-1,0,No
164,61,self-employed,divorced,tertiary,No,52587,No,No,cellular,15,feb,3,189,1,Yes
167,58,unemployed,divorced,secondary,No,729,No,Yes,cellular,9,feb,2,-1,0,No
168,46,services,married,secondary,No,273,No,No,cellular,22,aug,2,-1,0,Yes
169,28,management,single,secondary,No,2840,No,No,cellular,20,apr,5,-1,0,Yes
171,36,technician,single,secondary,No,2921,No,No,telephone,31,jul,7,-1,0,No
172,44,blue-collar,married,secondary,No,16178,Yes,No,cellular,21,nov,1,-1,0,No
173,54,services,divorced,secondary,No,0,No,No,cellular,18,mar,1,290,3,Yes
174,38,technician,married,secondary,No,557,Yes,No,cellular,16,nov,4,-1,0,Yes
175,34,management,single,tertiary,No,4348,Yes,No,cellular,28,aug,8,-1,0,No
177,29,self-employed,single,tertiary,No,1579,No,No,cellular,13,oct,1,92,5,Yes
179,50,technician,divorced,secondary,No,0,No,No,cellular,29,sep,1,120,2,Yes
180,60,retired,married,tertiary,No,108,No,No,cellular,26,aug,1,-1,0,Yes
182,36,services,married,secondary,No,-27,Yes,Yes,cellular,7,jul,4,-1,0,No
183,45,admin.,married,secondary,No,205,No,No,cellular,4,may,1,90,2,Yes
186,30,management,single,tertiary,No,985,Yes,No,cellular,25,oct,1,94,2,Yes
187,31,management,married,tertiary,No,3739,No,No,cellular,11,aug,3,-1,0,No
188,28,management,single,tertiary,No,6784,No,No,cellular,1,oct,1,115,3,Yes
190,34,self-employed,married,tertiary,No,0,No,No,cellular,28,aug,11,-1,0,Yes
191,51,blue-collar,divorced,secondary,No,113,No,No,cellular,15,may,3,-1,0,No
194,49,housemaid,married,primary,No,0,No,No,telephone,9,jul,1,-1,0,No
195,33,management,single,tertiary,No,3143,No,No,cellular,29,jun,2,-1,0,Yes
196,53,admin.,married,secondary,No,53,Yes,No,cellular,18,may,1,-1,0,Yes
197,45,management,married,tertiary,No,1447,Yes,Yes,cellular,7,jul,2,-1,0,No
198,36,self-employed,divorced,tertiary,No,6385,Yes,No,cellular,21,nov,2,-1,0,No
199,43,management,married,tertiary,No,3186,No,No,cellular,16,nov,1,88,1,Yes
200,31,blue-collar,married,primary,No,290,Yes,No,cellular,15,may,1,291,3,No
201,56,blue-collar,married,primary,No,8163,No,No,cellular,14,aug,4,-1,0,Yes
203,40,technician,single,tertiary,No,431,No,No,cellular,7,jul,2,-1,0,Yes
204,60,admin.,married,secondary,No,711,No,No,cellular,12,aug,4,-1,0,No
205,45,admin.,married,secondary,No,0,No,No,cellular,14,aug,2,-1,0,No
207,55,technician,divorced,secondary,Yes,4,No,No,cellular,28,jan,1,-1,0,Yes
208,41,blue-collar,married,primary,No,3658,Yes,No,cellular,9,apr,1,330,1,No
209,46,management,married,tertiary,No,699,No,No,cellular,30,apr,1,87,1,Yes
210,41,entrepreneur,married,secondary,No,8491,Yes,No,cellular,18,nov,1,-1,0,Yes
211,51,admin.,married,secondary,No,423,Yes,Yes,cellular,16,jul,5,183,2,No
212,55,technician,divorced,tertiary,No,0,No,No,cellular,17,nov,2,91,1,Yes
213,34,services,married,secondary,No,790,Yes,No,cellular,20,apr,2,350,1,No
214,40,admin.,married,secondary,No,341,No,No,cellular,31,jul,5,-1,0,Yes
215,31,unemployed,single,secondary,No,582,Yes,No,cellular,5,jun,2,-1,0,Yes
216,32,management,single,tertiary,No,623,No,No,cellular,6,jul,3,194,2,Yes
217,37,services,single,secondary,No,1045,No,No,cellular,4,feb,1,-1,0,No
218,31,services,married,secondary,No,0,Yes,No,cellular,29,jan,2,-1,0,No
219,56,retired,married,tertiary,No,281,No,No,cellular,3,mar,2,-1,0,Yes
220,26,blue-collar,single,primary,No,-295,Yes,No,cellular,6,may,1,-1,0,No
221,45,management,married,tertiary,No,160,No,No,cellular,10,nov,2,194,1,Yes
222,32,management,married,secondary,No,134,Yes,Yes,cellular,15,may,3,-1,0,Yes
223,41,management,married,tertiary,No,472,Yes,No,cellular,10,jul,1,-1,0,No
225,42,blue-collar,married,secondary,No,0,Yes,No,cellular,30,jan,2,-1,0,No
227,55,retired,divorced,tertiary,No,0,No,No,cellular,18,may,1,370,1,Yes
228,26,student,single,tertiary,No,641,Yes,No,cellular,15,may,1,368,1,No
229,29,management,single,tertiary,No,3041,Yes,No,cellular,8,may,3,-1,0,Yes
230,40,management,divorced,tertiary,No,502,Yes,No,cellular,3,feb,4,270,3,No
231,29,management,single,tertiary,No,2531,No,No,cellular,19,aug,1,-1,0,Yes
232,33,technician,married,secondary,No,218,Yes,Yes,cellular,10,aug,1,161,4,No
234,31,technician,married,secondary,No,-119,Yes,No,cellular,18,may,5,-1,0,No
236,40,entrepreneur,married,tertiary,No,70,No,No,cellular,20,nov,1,-1,0,No
237,58,admin.,married,secondary,No,3735,No,No,cellular,17,nov,2,-1,0,No
238,41,management,married,tertiary,No,8553,Yes,No,cellular,12,aug,12,-1,0,No
239,40,technician,married,secondary,No,84,Yes,No,cellular,8,aug,3,-1,0,No
244,59,retired,married,primary,No,3400,Yes,No,cellular,5,aug,3,-1,0,Yes
245,48,blue-collar,married,secondary,No,1730,Yes,No,cellular,4,feb,1,178,2,Yes
246,46,technician,married,secondary,No,6993,Yes,No,cellular,17,apr,3,148,1,No
248,48,management,divorced,tertiary,No,-547,No,No,cellular,21,nov,2,-1,0,No
250,33,admin.,divorced,tertiary,No,891,No,No,cellular,8,may,2,-1,0,Yes
254,24,unemployed,single,secondary,No,2696,No,No,cellular,7,sep,2,-1,0,No
255,58,blue-collar,married,primary,No,0,Yes,No,cellular,31,jul,25,-1,0,No
256,46,management,divorced,tertiary,No,-130,Yes,No,cellular,24,mar,2,-1,0,Yes
259,43,blue-collar,married,secondary,No,184,No,Yes,cellular,16,jul,11,-1,0,Yes
260,35,blue-collar,single,tertiary,No,1830,No,No,cellular,14,oct,2,-1,0,No
262,48,technician,married,secondary,No,480,No,Yes,cellular,23,jul,1,-1,0,No
263,41,blue-collar,married,secondary,Yes,720,No,Yes,cellular,24,jul,1,-1,0,Yes
264,34,admin.,married,secondary,No,-33,Yes,Yes,cellular,10,jul,1,-1,0,Yes
265,32,entrepreneur,married,tertiary,No,762,No,No,cellular,19,jul,11,-1,0,Yes
268,44,services,married,secondary,No,742,No,No,telephone,30,jul,5,-1,0,No
269,66,technician,married,secondary,No,0,No,No,cellular,6,feb,1,-1,0,Yes
270,61,blue-collar,married,primary,No,5,No,No,cellular,6,aug,2,94,3,Yes
273,54,housemaid,married,tertiary,No,440,No,No,cellular,19,nov,1,-1,0,No
274,48,unemployed,divorced,secondary,No,201,No,No,cellular,10,feb,2,92,2,Yes
275,44,management,single,tertiary,No,1090,No,No,cellular,19,jul,4,532,2,Yes
276,50,technician,married,secondary,No,-584,No,No,cellular,20,aug,2,-1,0,No
278,34,management,married,tertiary,No,697,No,No,cellular,5,aug,1,-1,0,No
279,50,housemaid,divorced,primary,No,120,Yes,No,cellular,21,jul,1,-1,0,No
280,34,blue-collar,married,secondary,Yes,1,Yes,No,cellular,9,jul,1,-1,0,No
281,29,blue-collar,married,secondary,No,76,Yes,No,cellular,6,feb,3,-1,0,No
282,46,management,married,secondary,Yes,-333,No,Yes,cellular,30,jul,2,-1,0,No
285,33,management,single,tertiary,No,87,No,No,cellular,12,aug,1,-1,0,Yes
286,60,retired,divorced,secondary,No,514,No,No,cellular,15,oct,2,213,10,Yes
287,45,blue-collar,married,secondary,No,0,No,No,cellular,14,aug,2,-1,0,No
288,31,student,single,tertiary,No,4951,No,No,cellular,17,sep,3,81,3,Yes
289,47,services,married,secondary,No,1160,Yes,No,cellular,3,feb,2,221,4,No
290,39,entrepreneur,married,tertiary,No,0,No,No,cellular,31,jul,3,-1,0,No
291,32,blue-collar,single,secondary,No,799,No,Yes,cellular,23,jul,6,-1,0,Yes
292,52,unemployed,married,secondary,No,105,No,No,cellular,20,nov,1,-1,0,No
294,37,blue-collar,married,secondary,No,903,Yes,No,cellular,20,apr,1,-1,0,No
296,34,admin.,single,tertiary,No,64,Yes,No,cellular,28,jul,2,-1,0,No
298,25,self-employed,single,tertiary,No,42,Yes,No,cellular,5,jun,1,94,1,Yes
299,25,admin.,single,tertiary,No,220,No,No,cellular,26,may,1,-1,0,No
300,23,services,single,secondary,No,279,Yes,No,cellular,18,may,1,370,1,Yes
302,35,management,married,tertiary,No,0,No,No,cellular,26,aug,2,-1,0,No
303,30,management,single,tertiary,No,2344,Yes,No,cellular,20,oct,2,92,3,No
304,35,management,married,tertiary,No,8,No,No,cellular,23,apr,3,-1,0,Yes
305,37,management,married,tertiary,No,3737,No,No,cellular,7,jul,1,-1,0,Yes
306,35,technician,single,tertiary,No,147,No,No,cellular,21,aug,2,-1,0,No
308,30,student,single,secondary,No,1779,No,No,cellular,11,aug,1,433,1,Yes
309,32,management,single,tertiary,No,933,Yes,No,cellular,12,may,4,307,1,No
310,19,student,single,secondary,No,394,No,No,cellular,5,apr,3,-1,0,Yes
311,58,retired,married,secondary,No,1227,No,No,cellular,2,feb,1,-1,0,No
312,29,management,married,tertiary,No,805,No,No,cellular,28,jan,1,-1,0,No
314,40,management,married,tertiary,No,0,Yes,No,cellular,2,feb,1,-1,0,No
315,31,technician,single,secondary,No,46,No,No,cellular,27,aug,6,-1,0,No
316,47,admin.,divorced,secondary,No,555,Yes,Yes,telephone,17,oct,1,-1,0,Yes
317,59,services,divorced,secondary,No,1,Yes,No,cellular,28,jan,1,253,5,Yes
318,42,blue-collar,married,secondary,No,3,Yes,No,telephone,20,nov,1,190,1,No
319,59,management,divorced,tertiary,No,17056,Yes,No,cellular,20,nov,2,-1,0,No
320,38,technician,single,secondary,No,1255,Yes,No,cellular,6,may,1,170,4,No
321,33,services,married,secondary,No,386,No,No,cellular,12,nov,1,92,4,Yes
323,31,self-employed,married,tertiary,No,94,No,No,cellular,22,aug,2,-1,0,Yes
324,52,admin.,divorced,secondary,No,725,Yes,No,cellular,20,apr,3,325,1,No
325,47,blue-collar,married,secondary,No,1568,Yes,No,cellular,19,feb,1,262,7,Yes
326,27,self-employed,single,secondary,No,152,No,No,cellular,30,jul,3,-1,0,No
328,31,technician,single,tertiary,No,438,Yes,No,cellular,20,nov,1,100,2,No
329,77,retired,married,primary,No,29340,No,No,cellular,15,mar,1,91,2,Yes
331,27,blue-collar,single,secondary,No,535,No,No,cellular,16,aug,3,95,4,Yes
332,44,blue-collar,married,secondary,No,797,Yes,No,cellular,17,apr,2,-1,0,No
333,61,management,married,secondary,No,985,No,No,cellular,18,aug,6,-1,0,Yes
334,46,management,divorced,tertiary,No,1297,No,No,cellular,11,aug,3,-1,0,Yes
338,29,technician,single,secondary,No,110,Yes,No,cellular,13,apr,1,-1,0,Yes
339,38,admin.,married,secondary,No,47,Yes,No,cellular,4,may,5,-1,0,Yes
340,35,blue-collar,single,secondary,No,885,Yes,No,cellular,15,jul,6,-1,0,Yes
343,52,technician,married,secondary,No,137,No,No,cellular,6,jul,2,-1,0,Yes
344,26,technician,single,tertiary,No,170,Yes,No,cellular,10,jul,1,-1,0,No
346,30,technician,single,secondary,No,53,Yes,No,cellular,18,jul,5,-1,0,No
347,48,technician,single,secondary,No,1245,No,No,cellular,13,oct,1,134,1,No
348,36,technician,married,secondary,No,480,No,No,cellular,20,oct,1,-1,0,Yes
349,35,management,single,tertiary,No,1750,Yes,No,cellular,21,apr,3,-1,0,Yes
350,35,services,married,secondary,No,5,No,No,cellular,30,jul,2,-1,0,No
351,31,technician,married,secondary,No,4182,Yes,No,cellular,4,may,2,-1,0,Yes
352,39,blue-collar,divorced,secondary,No,241,Yes,No,cellular,18,jul,2,-1,0,No
353,33,self-employed,married,secondary,No,49,Yes,No,cellular,14,may,7,-1,0,No
354,57,retired,married,tertiary,No,0,No,No,cellular,12,aug,4,-1,0,No
355,30,technician,single,secondary,No,458,No,No,cellular,20,nov,7,-1,0,No
359,32,management,married,secondary,No,625,Yes,No,cellular,2,jun,1,56,2,No
360,37,admin.,married,secondary,No,1110,Yes,No,telephone,22,jul,11,-1,0,Yes
362,27,student,single,secondary,No,3,No,No,cellular,28,jan,1,-1,0,No
363,50,blue-collar,married,primary,No,180,Yes,No,cellular,16,apr,2,-1,0,No
364,34,management,single,tertiary,No,5086,No,No,cellular,25,may,4,-1,0,Yes
367,32,blue-collar,single,secondary,No,322,Yes,No,cellular,13,may,3,-1,0,No
368,33,technician,single,secondary,No,647,Yes,Yes,cellular,4,feb,1,273,1,No
369,49,blue-collar,divorced,secondary,No,10613,No,Yes,cellular,4,feb,1,-1,0,Yes
370,54,technician,divorced,secondary,No,136,No,Yes,cellular,10,jul,4,-1,0,No
371,34,technician,single,tertiary,No,612,No,No,cellular,25,may,1,-1,0,No
372,28,unemployed,single,secondary,No,434,Yes,No,cellular,30,apr,1,-1,0,No
373,32,services,single,secondary,No,1168,Yes,No,cellular,16,nov,1,-1,0,Yes
374,41,admin.,divorced,secondary,No,4,Yes,No,cellular,5,feb,1,211,1,No
375,23,student,single,secondary,No,480,No,No,cellular,9,feb,2,182,1,Yes
376,64,retired,married,secondary,No,4787,No,No,cellular,28,apr,1,182,1,Yes
378,26,admin.,single,secondary,No,187,No,No,cellular,30,jan,2,-1,0,No
379,38,technician,married,tertiary,No,216,No,No,cellular,19,aug,4,-1,0,No
380,53,services,married,secondary,No,-363,Yes,No,cellular,7,aug,2,-1,0,No
381,40,technician,divorced,secondary,No,93,No,No,cellular,2,feb,2,-1,0,No
382,39,services,married,secondary,No,3870,Yes,No,cellular,20,apr,1,-1,0,No
383,62,retired,married,secondary,No,298,No,No,cellular,17,nov,2,-1,0,Yes
384,35,technician,married,secondary,No,249,No,No,cellular,21,aug,8,-1,0,No
385,32,technician,single,tertiary,No,0,Yes,Yes,cellular,13,may,2,-1,0,Yes
387,35,housemaid,married,tertiary,No,1265,Yes,No,cellular,15,may,5,179,4,Yes
389,30,services,single,primary,No,0,Yes,Yes,cellular,19,nov,1,-1,0,Yes
390,36,services,married,secondary,No,4721,No,No,cellular,9,dec,3,-1,0,Yes
391,30,blue-collar,single,secondary,No,5909,Yes,No,cellular,18,may,2,-1,0,Yes
392,33,admin.,married,secondary,No,1737,No,No,cellular,14,aug,2,106,2,No
398,26,management,single,tertiary,No,157,Yes,No,cellular,30,jan,2,-1,0,No
399,34,blue-collar,divorced,secondary,No,882,No,Yes,telephone,20,oct,1,-1,0,No
400,31,admin.,single,secondary,No,3950,Yes,No,cellular,21,nov,1,-1,0,Yes
401,38,blue-collar,married,secondary,No,814,Yes,No,cellular,4,feb,1,-1,0,No
402,51,blue-collar,divorced,primary,No,-19,Yes,No,cellular,13,may,1,296,11,Yes
403,36,management,married,tertiary,No,0,Yes,No,cellular,8,may,3,-1,0,Yes
404,24,admin.,single,tertiary,No,674,Yes,No,cellular,6,jul,1,-1,0,Yes
405,27,admin.,divorced,secondary,No,451,Yes,No,cellular,16,jul,1,-1,0,Yes
407,31,management,single,tertiary,No,0,No,No,cellular,21,aug,2,-1,0,No
408,45,services,divorced,secondary,No,608,Yes,Yes,cellular,7,may,3,323,30,Yes
409,33,services,married,secondary,No,387,Yes,No,cellular,7,apr,2,138,2,No
410,40,admin.,married,secondary,No,4775,No,No,cellular,15,sep,1,-1,0,Yes
411,35,management,single,tertiary,No,62,Yes,No,cellular,5,may,4,15,3,No
412,51,management,married,tertiary,No,2704,Yes,No,telephone,21,jul,1,-1,0,No
413,41,blue-collar,married,primary,No,-75,Yes,No,cellular,18,may,1,-1,0,No
414,35,management,single,tertiary,No,-324,No,Yes,cellular,21,jul,11,-1,0,Yes
415,71,retired,divorced,primary,No,1729,No,No,cellular,17,nov,2,-1,0,Yes
417,42,management,divorced,tertiary,No,9,Yes,No,cellular,21,jul,1,-1,0,No
418,29,management,married,tertiary,No,0,Yes,No,cellular,6,may,2,-1,0,Yes
420,32,admin.,single,secondary,No,678,Yes,No,cellular,4,feb,1,246,4,Yes
421,51,management,married,tertiary,No,19313,No,No,telephone,21,nov,1,-1,0,No
422,32,management,single,tertiary,No,2551,Yes,No,cellular,21,jul,3,-1,0,Yes
424,32,blue-collar,married,primary,No,0,Yes,No,cellular,11,may,3,-1,0,No
427,26,technician,single,secondary,No,1231,Yes,No,cellular,4,sep,1,93,7,Yes
428,58,management,divorced,tertiary,No,108,No,No,cellular,12,aug,4,-1,0,No
429,33,management,married,tertiary,No,1047,No,No,cellular,8,aug,4,-1,0,Yes
430,29,housemaid,single,tertiary,No,19,No,No,cellular,3,dec,1,230,1,Yes
431,31,admin.,married,secondary,No,33,Yes,No,cellular,5,may,2,-1,0,No
432,35,technician,single,secondary,No,204,Yes,No,cellular,25,may,1,-1,0,Yes
433,45,admin.,married,secondary,No,0,No,Yes,telephone,15,jul,3,-1,0,Yes
434,34,management,single,tertiary,No,808,No,No,cellular,26,may,2,97,1,No
435,33,admin.,single,tertiary,No,272,Yes,No,cellular,1,sep,2,92,3,Yes
436,32,services,married,secondary,No,983,Yes,No,cellular,20,nov,2,133,1,Yes
437,53,technician,married,tertiary,No,3177,No,No,cellular,8,aug,2,-1,0,No
438,45,blue-collar,married,secondary,No,-258,Yes,No,telephone,20,apr,5,-1,0,No
440,45,blue-collar,married,primary,No,121,No,No,cellular,29,aug,11,-1,0,No
441,43,management,married,tertiary,No,62,Yes,No,cellular,23,jul,3,-1,0,No
442,39,housemaid,married,primary,No,34,Yes,No,cellular,14,jul,3,-1,0,No
